Complaint_id,Complaints,Category,Intent
C000001,Nigeria.. they always cheat us.. na our app big pass and also the slowest and poorly maintained.. it take me 20 mins everyday to buy data because our stupid app is slow . Nigeria.. a pity,Mobile Data,slow_internet
C000002,"I can't use the app after the updates, says i need to register on the network while i'm already using airtel data. The worst application among service providers and not user friendly, but fraudsters are using this network line to send fake credit alerts to unsuspecting people.",Fraud,reported_scam
C000003,"The most useless banking app ever. Tried recharging from my account 3 time, I was debited and I got not airtime. Customer Service Sucks You will have to wait for you turn and once you are the fourth person, they cut you off. Very useless app. I'll advice you guys to just stick to the regular USSD and the SIM was blocked with an error message saying NIN linkage is required immediately.",SIM Services,sim_barred_nin
C000004,"PalmPay you guys are thieves! if you don't return my money that you auto debited from my bank card the which I lost and has been blocked because I created a new one you will hear from verydarkman. As it has now gotten to the point where you break into people bank. Guys PalmPay is no longer safe if your money is there remove it and end everything with dem 53k interest for 22k principal with their various stealing tactics make it add up to that amount, then I received a suspicious phishing text claiming my bank account is blocked via this line.",Fraud,reported_scam
C000005,"what opay customer care service Gmail account 🤔? because I don't understand that customer service in the app, it's not responding 😠😠. The AI is talking rubbish 😠😠😠😠. I bought Data subscription that has been pending for more than 24hrs and it's been deducted from my balance 😡😡😡😠😠😠😠. you guys should solve that problem with immediate actions and una just auto-renewed caller tune without my consent, kindly stop this unsolicited VAS debit.",Billing & VAS,forced_subscription
C000006,"Plz I lost my sim card and since then I haven't been able to login to the opay app coz they are requesting for OTP on the lost sim, I suggest an upgrade that could enable people who lost their sims should be made so they can easily login. Please the money na for my school fees 😭😭 and una just auto-renewed caller tune without my consent, kindly stop this unsolicited VAS debit.",Billing & VAS,forced_subscription
C000007,"it has been hanging a lot recently and limits what I do on the app most of the time plus the recharge to cash crashes a lot of times and you take airtime without returning the cash please you guys should fix that part and my line was disconnected, stating my NIN registration status is invalid.",SIM Services,sim_barred_nin
C000008,"Very poor and fully rubbish , I shared data and couldn't get to the receiption and they deducted my 500mb this is not a first time this happening to me. Very bad and poor app",Mobile Data,abnormal_data_drain
C000009,"THE claim you will get free GB, but i didn't get anything!! , but let me tell you that registration and loading the app will take alot of time and thats how the cut your data off..so unfair, and immediately an unknown caller pretending to be customer care called demanding my SIM OTP.",Fraud,reported_scam
C000010,"These people have defrauded me of 6500, I transferred and was debited but they never credited d beneficiary since 19th of April...I've begged since then for a reversal but they have bluntly refused to give me back my money...access bank now steals from its customers...as of today 17th may 2021, they have refused to reverse my money and today, they av repeated same for airtime top up I made...they are thieves, then una start deducting 50 naira daily for magic voice subscription that I never requested.",Billing & VAS,forced_subscription
C000011,I purchased 2 times data on the app with my bank link they remove my money and never give me the data,Mobile Data,abnormal_data_drain
C000012,I think there is an issue with this app i keep installing and uninstalling it...anytime i install it doesn't open but keeps telling me internet connection on a full 3G network My country is Nigeria and my network provider is 9mobile only to find out you enrolled my line into an unauthorized game club service and deducted my balance.,Billing & VAS,forced_subscription
C000013,Opay is the worst transfer app I've ever used I'll advise others to go for their rival. (Palm pay) Despite complaining about your app last year you still won't fix the issue 🤬🤬 You guys told me to report the issue through the app but how can I report the issue if I can't bloody login the app despite having a good internet connection and my SIM was restricted with prompt to visit office for NIN biometric capture.,SIM Services,sim_barred_nin
C000014,"I am recently having a problem with my app. The pattern for buying airtime and data changed. You cant tap pay and it will move its jus there. Pls fix it cos i've tried my two phones and its not from my phone. It needs to be fixed i use my app daily. USSD should be completed too for faster use, but my phone has been showing 'Emergency Calls Only' and completely zero signal bars all day.",Network Quality,total_outage
C000015,"Why is it impossible to share data simply because 1 of my various subscriptions is expired? Must I rollover? I cannot even recharge with my card still, no ""save"" or ""proceed"" icon. Y'all stress me.",Billing & VAS,unexplained_deduction
C000016,"On Android device, you can't see your data details from youtube night data. This is bad and at least let someone see the balance differently and now auto-renewal is debiting my airtime despite sending STOP to deactivate this service.",Billing & VAS,forced_subscription
C000017,"I have more than 3000naira in my account and when I tried to recharge even 1000naira it keeps showing insufficient balance...this is really annoying, and I was sent a fraudulent SMS asking for my USSD transaction pin.",Fraud,reported_scam
C000018,"Improve in the services some time you may laod airtime and and from no where when you check after some time you find that the airtime is deducted without using it, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000019,"Opay is a big scam, they will never reverse your failed transaction money and also program to lie on receiving banks when it's obvious there network is bad. always blaming others for there poor services. I regret using it after lots of money sent and hanged. Lastly the customer service is very poor and even ask me to provide bank statement of receipient banks to do they nonsense investigation after I provided session id",Fraud,reported_scam
C000020,"Scammers, They ask for 500 fee and they reject your request and still won't refund your 500 fee, claiming is for fraud and data review check ups, scammers 😂",Fraud,reported_scam
C000021,Good i like it Very fast to do sub and fast network,Mobile Data,abnormal_data_drain
C000022,"Good banking system but poor banking network. Everytime your app fails to load. I don't understand why. My app is always up to date because i know that's what you guys will respond. Just try and fix it before you loose users to your competition, but my phone has been showing 'Emergency Calls Only' and completely zero signal bars all day.",Network Quality,total_outage
C000023,"I can't explore the Oride,Deposit bar on this latest version which i used to in older version but just kept signaling I should go and update the app",SIM Services,sim_barred_nin
C000024,"Very terrible, I tried making dstv subscription today with my atm on mydstv app, i got debited without getting the value of what i paid for, the worse case, UBA app refused to show the amount in my transaction history. Imagine if I had no idea of what my balance suppose to be and una just auto-renewed caller tune without my consent, kindly stop this unsolicited VAS debit.",Billing & VAS,forced_subscription
C000025,Why does 9mobile mast in Lagos always turn off once NEPA takes light? Pls help!,Network Quality,total_outage
C000026,"Love the app, but the update is bad.. Very bad.. It slows down and it's characters are just dull to my liking... Pls a good update to fix bugs and it's ability to work even when there's no data ""I.e when using MTN sim"" Would really be much appreciated.",Mobile Data,abnormal_data_drain
C000027,MTN told us that if you download this new app one gigabyte Data would be given but to my surprise I got nothing. Thanks for the 419,Mobile Data,abnormal_data_drain
C000028,"I have no choice , 1 star is compulsory. money will be deducted from your account but you will not get the airtime you bought . Secondly you can't send money, and immediately an unknown caller pretending to be customer care called demanding my SIM OTP.",Fraud,reported_scam
C000029,"I recharge from my first bank account ,to my other line ,your bank debit me but ,I did see my card ,& your bank always do that please refund my money back Abeg , but fraudsters are using this network line to send fake credit alerts to unsuspecting people.",Fraud,reported_scam
C000030,could not do any transactions either send money out or buy ordinary Data my #1k is hanging in there 😰😭😭😭 and the SIM was blocked with an error message saying NIN linkage is required immediately.,SIM Services,sim_barred_nin
C000031,I can't subscribe to data plan on a linked number,Mobile Data,abnormal_data_drain
C000032,"This App is at present very frustrating, to say the least. It takes a long time to open. If you want to buy Data, for instance, it takes up to 4 attempts before the credit balance will show to enable you pay for data. Please make each of the App features work seamlessly before you integrate it.",Billing & VAS,unexplained_deduction
C000033,"My use of the app has been smooth till today, I decided to load 75mb and it took 400 naira put of my account and gave me 375mb. Airtel why is this happening? I have screenshots to prove, please investigate this line because con artists are using it to impersonate telecom agents.",Fraud,reported_scam
C000034,"The bank only sends me login mail, no debit nor credit alert by mail which I signed up for. The bank app doesn't load transaction history pass two months. This app has a subtle way of frustrating someone, but I cannot make calls because customer care barred my SIM without prior notice.",SIM Services,sim_barred_nin
C000035,This app is a scam . Can you imagine that I sent money to the app to recharge and it failed to fund my money,Billing & VAS,unexplained_deduction
C000036,"Bad experience, I can't recharge a smile call with my gtb account, and a scam message came in offering fake lottery winnings with a malicious link.",Fraud,reported_scam
C000037,"I just don't understand the app, it doesn't show my airtime and data balance ...just popping up ads . I don't recommend",Billing & VAS,unexplained_deduction
C000038,"the app I have experience so far I can transfer or recharge card it just useless on my phone, then I received a suspicious phishing text claiming my bank account is blocked via this line.",Fraud,reported_scam
C000039,"Ocar is a nightmare of an app. My experience on it is better forgotten. The first ride entitled me to a bonus ride of N200. However, my trip from GRA Ikeja to Surulere, ended by me paying cash of N1894. The app malfunctioned. I registered my complaint both in voice call and email on the app contact, but till date December 17, 2019, I have not received any response. What a shame! The Ocar service is a No No. Beware please, and immediately an unknown caller pretending to be customer care called demanding my SIM OTP.",Fraud,reported_scam
C000040,"This is a total dissapointment, have been unable to login into my acct for days, I spoke to a customer service he was kind enough to till me there's a system upgrade, without a text message or a mail. Was asked to download this damn app, I did now that won't also login. I wonder why the live chat is right under it, if you guys wouldn't respond.. if we do not subcribe for months we get calls from you guys everyday. Like you have the best network. Please work on the damn new app but my airtime was forcefully deducted for a daily horoscope service I never opted into.",Billing & VAS,forced_subscription
C000041,it's been unresponsive for over a week. I can't check my balance,Billing & VAS,unexplained_deduction
C000042,A very useless app. I was debited trice from my momo psb when buying data but it didn't reflect although it showed sucessful. I think that i should stop using MTN altogether,Billing & VAS,unexplained_deduction
C000043,"I think it was the best at first buh now it's so frustrating... I got message on my phone last week that m owning 1000 nd dey deducted it from my balance..I was still looking for how to complain when I got another message from flexi (ok card) that m owning them 1,764, whereas I didn't borrow any card or data from them nd they sent me message my loan repayment will be due tomorrow 😡😡😡 I won't be paying a dime..the only money m owing is d loan I got from flexi cash, nd m to pay back on 1st Oct, there is completely no service or network bar in this location since yesterday.",Network Quality,total_outage
C000044,Whoever has this app on their phone should uninstall it now!!! Opay has beem hacked!!! They will use the money in your wallet without your consent and when you complain they'll ignore you. Uninstall the app from your phone now!!! Do not hesitate i repeat do not hesitate,Fraud,reported_scam
C000045,This app doesn't provide a way of initiating any disputed transaction very bad as they always debit me in so many failed transaction just like 1500 they debited me yesterday for MTN recharge card and up till this moment they refuse to reverse it is so painful and there is no way to initiate dispute in this App and the SIM was blocked with an error message saying NIN linkage is required immediately.,SIM Services,sim_barred_nin
C000046,"The app is good but there service issues this period is something else... Please work on the network ad fast as possible thanks, got a fraudulent call asking me to pay money to unblock my phone line.",Fraud,reported_scam
C000047,"Useless agents disturbing calls, threatening text messages because of small loans... The worst at its peak... Now for more than a month I can't get loans again, asking me to maintain good credit standards, I have a very good at that, but u deny me loans... I'll submit the numbers today and now auto-renewal is debiting my airtime despite sending STOP to deactivate this service.",Billing & VAS,forced_subscription
C000048,MTN data no dey browse since morning for Ibadan. Full 4G bar but nothing dey load.,SIM Services,sim_barred_nin
